John_Hempton
BarbarianCap
muddywatersre
AlderLaneeggs
CitronResearch
elonmusk
KerrisdaleCap
modestproposal1
marketfolly
EventDrivenMgr
ActivistShorts
Carl_C_Icahn
LongShortTrader
DonutShorts
sprucepointcap
BluegrassCap

NoonSixCap
WallStCynic
GothamResearch
herbgreenberg

valuewalk
UnionSquareGrp
PlanMaestro
ReformedBroker
SkeleCap
FatTailCapital
ShortSightedCap
footnoted

JacobWolinsky
zerohedge
FundyLongShort

DumbLuckCapital
Hedge_FundGirl
PresciencePoint
DavidSchawel
pmarca
fundiescapital
ActAccordingly


MicroFundy
BergenCapital
marginalidea
Keubiko
Jesse_Livermore
PainCapital
EdBorgato

RodBoydILM
AlexRubalcava

activiststocks
firstadopter
WarrenBuffett
WSJ

xuexishenghuo
cablecarcapital
probesreporter
GrantsPub
business



AureliusValue
Find_Me_Value
davidein

ValueDude
Fritz844

TMTanalyst
manualofideas
QTRResearch
matt_levine

LibertyRPF
AZ_Value
FCFYield
GlaucusResearch
HardcoreValue
PhilipEtienne
HedgeyeENERGY
TigreCapital
CopperfieldRscr

adoxen

mjmauboussin
TruthGundlach
bespokeinvest
UnderwaterCap
jay_21_
schaudenfraud
JohnHuber72
mark_dow
Iamsamirarora
awealthofcs
ScottMinerd
iancassel
The_Real_Fly
charliebilello
ReformedBroker
TheStalwart
VitalikButerin
SatoshiLite
ritholtz
LizAnnSonders
Vivek_Investor
dmuthuk
trengriffin
jvembuna
AustinValue
naval
rohitchauhan
canuck2usa
racernic
Newsquawk
the_real_fly
harmongreg
traderstewie
stt2318
fousalerts
peterlbrandt
alphatrends
maoxian
zerohedge
afernandez321
CNBC
Stocktwits
breakoutStocks
bespokeinvest
WSJMarkets
Stephanie_Link
nytimesbusiness
traderTVLIVE
IBDinvestors
WSJDealJournal
